,data_compra,sku,produto,fornecedor,custo_bruto,comissoes_mktplace,frete,preco_venda,lucro_venda,dias_estoque,data_venda,marketplace_venda,cliente,localizacao
0,2019-11-16,6105380000,CX FERRAM METALICA/PLAST CMV 0380 VONDER,OVD,94.09,0.0,0.0,130.0,35.75,331,2020-10-12,ENTREGUE EM MÃOS,f1f57e0e043eafbec890,"Cafelândia, PR"
1,2019-11-16,3085250000,TESOURA USO GERAL 25CM VONDER 8213.00.00,OVD,10.23,7.74,0.0,24.9,5.78,157,2020-04-21,ML MHL TOOLS,5807893901f09e4be73e,"São Paulo, São Paulo"
2,2019-11-16,3002142518,"ALIC UNIVERSAL 8"" 219022B BELZER 8203.20.10",OVD,43.8,15.86,5.65,79.43,11.57,380,2020-11-30,ML MHL TOOLS,1ada6905d17db2a99dac,"Irapuã, SP"
3,2019-11-16,3032813218,"ALIC BICO M.CANA TELEF.8132 IOX-8""GEDORE 8203.20.10",OVD,66.06,15.86,5.65,99.9,10.21,380,2020-11-30,ML MHL TOOLS,1ada6905d17db2a99dac,"Irapuã, SP"
4,2019-11-16,3002146506,"ALIC CORTE DIAGONAL 6"" 219024B BELZER",OVD,61.32,18.9,0.0,86.9,5.22,266,2020-08-08,ML ALEGRISHOP,d43c52bbf8c9176de5f8,"Niterói, Rio de Janeiro"
5,2019-11-16,3837200018,TRENA KTS1-8ME-S 8METROS STARRETT 9017.80.10,OVD,28.12,13.48,0.0,49.9,6.76,360,2020-11-10,ML ALEGRISHOP,09c94e8e8e6308395397,"Mauá, São Paulo"
6,2019-11-16,3837200018,TRENA KTS1-8ME-S 8METROS STARRETT 9017.80.10,OVD,28.12,13.48,0.0,49.9,6.76,360,2020-11-10,ML ALEGRISHOP,09c94e8e8e6308395397,"Mauá, São Paulo"
7,2019-11-16,3837200018,TRENA KTS1-8ME-S 8METROS STARRETT 9017.80.10,OVD,28.12,13.48,0.0,49.9,6.76,360,2020-11-10,ML ALEGRISHOP,09c94e8e8e6308395397,"Mauá, São Paulo"
8,2019-11-16,3837200018,TRENA KTS1-8ME-S 8METROS STARRETT 9017.80.10,OVD,28.12,9.31,5.0,49.9,5.93,576,2021-06-14,OLIST,1a4c56bb5c44e5a70f63,Mundo Novo - MS
9,2019-11-16,3837200018,TRENA KTS1-8ME-S 8METROS STARRETT 9017.80.10,OVD,28.12,9.31,5.0,49.9,5.93,585,2021-06-23,OLIST,19326671b374efe99d90,Santa Cruz do Sul - RS
10,2019-11-16,3837200018,TRENA KTS1-8ME-S 8METROS STARRETT 9017.80.10,OVD,28.12,0.0,0.0,28.12,0.36,509,2021-04-08,ENTREGUE EM MÃOS,deb6ab246f9e38f77946,"Toledo, Paraná"
11,2019-11-16,3570100060,CH FENDA/PHILLIPS PRECISAO 6PCS VONDER,OVD,17.7,11.38,0.0,39.9,9.1,271,2020-05-14,ML ALEGRISHOP,9409e568def94aab7f85,"Ponta Grossa, Paraná"
12,2019-11-16,3043620801,"CH AJUSTAVEL 8""",OVD,65.0,19.38,0.0,89.9,4.17,251,2020-07-24,ML ALEGRISHOP,b31c0ae10c7c22b5955a,"Rio de Janeiro, Rio de Janeiro"
13,2019-11-16,3065146000,MINIARCO DE SERRA - 146 STARRETT 8202.10.00,OVD,10.0,1.0,0.0,19.9,8.16,530,2021-04-29,SHOPEE,6fb767835e7d79b0617b,"Rio Claro, São Paulo"
14,2019-11-16,3099011000,ESTILETE S011 TRAPEZ HIDDEN EDGE STARRET 8211.93.90,OVD,117.04,28.88,15.45,169.9,7.73,431,2021-01-20,ML ALEGRISHOP,9bf550f0ebcfb4b02e57,"São Paulo, São Paulo"
15,2019-11-16,3589020000,MARTELO UNHA 20MM CABO FIBRA VONDER,OVD,15.78,10.58,0.0,34.9,7.07,248,2020-07-21,ML MHL TOOLS,a3fbaafd3c7d422950d6,"Florianópolis, Santa Catarina"
16,2019-11-16,3538028000,BITS/PONTEIRA CRV C/28PC ENC 1/4 VONDER 8207.90.00,OVD,33.88,14.58,0.0,59.9,9.59,515,2021-04-14,MAGALU,de661c2c8e1653fb5945,"SAO PAULO, SP"
17,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,9.3,0.0,26.9,0.78,320,2020-10-01,ML ALEGRISHOP,8bed78f04eb815b51224,"Embu das Artes, São Paulo"
18,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,9.3,0.0,26.9,0.78,320,2020-10-01,ML ALEGRISHOP,8bed78f04eb815b51224,"Embu das Artes, São Paulo"
19,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,9.44,0.0,26.9,0.64,444,2021-02-02,ML MHL TOOLS,131fb4db8675c01bb276,"Porangaba, São Paulo"
20,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,9.44,0.0,26.9,0.64,444,2021-02-02,ML MHL TOOLS,131fb4db8675c01bb276,"Porangaba, São Paulo"
21,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,9.44,0.0,26.9,0.64,444,2021-02-02,ML MHL TOOLS,131fb4db8675c01bb276,"Porangaba, São Paulo"
22,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,9.44,0.0,26.9,0.64,444,2021-02-02,ML MHL TOOLS,131fb4db8675c01bb276,"Porangaba, São Paulo"
23,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,9.44,0.0,26.9,0.64,444,2021-02-02,ML MHL TOOLS,131fb4db8675c01bb276,"Porangaba, São Paulo"
24,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,0.0,0.0,16.75,0.0,593,2021-07-01,ENTREGUE EM MÃOS,deb6ab246f9e38f77946,"Toledo, Paraná"
25,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,3.78,0.0,20.99,0.91,704,2021-10-20,SHOPEE,45337e1a03e49fb62bb1,"Niterói, Rio de Janeiro"
26,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,2.86,0.0,15.9,-4.63,831,2022-02-24,SHOPEE,8a4741d453c8dbf6aa1d,"Rio de Janeiro, Rio de Janeiro"
27,2019-11-16,3880003100,ALIC AMPERIMETRO DIGITAL ET-3100 MINIPA 9030.31.00,OVD,118.04,0.0,0.0,118.04,0.0,513,2021-04-12,ENTREGUE EM MÃOS,0de49c518ec01b6da056,Toledo - PR
28,2019-11-16,5165215300,LUBRIFICANTE SPRAY 300ML/200G VONDER 3824.99.41,OVD,6.18,5.99,0.0,6.18,-5.91,288,2020-08-30,ENTREGUE EM MÃOS,deb6ab246f9e38f77946,Toledo - PR
29,2019-11-16,3599113001,JG FERRAMENTAS C/113PC KF 001 954 8206.00.00,OVD,303.34,76.48,49.95,449.9,20.41,379,2020-11-29,ML MHL TOOLS,aa1a11e94c425c07c11f,"São Paulo, São Paulo"
30,2019-11-16,3606308019,CH COMB JG 08 A 19MM CATRACA 7PC VONDER,OVD,164.38,38.38,17.45,239.9,20.1,255,2020-07-28,ML MHL TOOLS,c12def4ba64354f497d1,"Aracaju, Sergipe"
31,2019-11-16,6065900211,ESMERILHADEIRA 9002AL 115MM 127V SKIL,OVD,217.33,41.58,17.45,299.9,25.24,210,2020-06-13,ML ALEGRISHOP,996da7e0e143662fffe0,"Abatiá, Paraná"
32,2019-11-16,6065900422,ESMERILHADEIRA 9004JQ 115MM 220V SKIL,OVD,211.81,47.98,21.95,299.9,19.3,250,2020-07-23,ML ALEGRISHOP,ddbe776f981340c3235c,"Ponta Grossa, Paraná"
33,2019-11-16,3599114220,"FURADEIRA IMP 3/8""220V KIT C/114PC 954 8467.21.00",OVD,313.6,100.68,38.39,529.9,55.6,716,2021-11-01,OLIST,f3c3ae9e67bd003eb1d1,Foz do Iguaçu
34,2019-11-16,6055565020,FURADEIRA HD565K-B2 IMP. 220V BD 8467.21.00,OVD,239.21,60.78,21.95,379.9,56.5,207,2020-06-10,ML ALEGRISHOP,8b995d696cfb21930bca,"Novo Hamburgo, Rio Grande do Sul"
35,2019-11-16,3599114127,"FURADEIRA IMP 3/8""127V KIT C/114PC 954 8467.21.00",OVD,314.51,25.48,34.95,149.9,-240.03,842,2022-03-07,ML MHL TOOLS,b12bdfe233aac92e90e6,"Campanha, Minas Gerais"
