,data_compra,sku,produto,fornecedor,custo_bruto,comissoes_mktplace,frete,preco_venda,lucro_venda,dias_estoque,cliente,marketplace_venda,marketplace_unificado,data_venda,dia_semana,fim_semana,ano_mes_venda,quarter_venda,uf,regiao_br
0,2019-11-16,6105380000,CX FERRAM METALICA/PLAST CMV 0380 VONDER,OVD,94.09,0.0,0.0,130.0,35.75,331,f1f57e0e043eafbec890,ENTREGUE EM MÃOS,ENTREGUE EM MÃOS,2020-10-12,Monday,False,2020-10,2020-T4,PR,SUL
1,2019-11-16,3085250000,TESOURA USO GERAL 25CM VONDER 8213.00.00,OVD,10.23,7.74,0.0,24.9,5.78,157,5807893901f09e4be73e,ML MHL TOOLS,MERCADO LIVRE,2020-04-21,Tuesday,False,2020-04,2020-T2,SP,SUDESTE
2,2019-11-16,3002142518,"ALIC UNIVERSAL 8"" 219022B BELZER 8203.20.10",OVD,43.8,15.86,5.65,79.43,11.57,380,1ada6905d17db2a99dac,ML MHL TOOLS,MERCADO LIVRE,2020-11-30,Monday,False,2020-11,2020-T4,SP,SUDESTE
3,2019-11-16,3032813218,"ALIC BICO M.CANA TELEF.8132 IOX-8""GEDORE 8203.20.10",OVD,66.06,15.86,5.65,99.9,10.21,380,1ada6905d17db2a99dac,ML MHL TOOLS,MERCADO LIVRE,2020-11-30,Monday,False,2020-11,2020-T4,SP,SUDESTE
4,2019-11-16,3002146506,"ALIC CORTE DIAGONAL 6"" 219024B BELZER",OVD,61.32,18.9,0.0,86.9,5.22,266,d43c52bbf8c9176de5f8,ML ALEGRISHOP,MERCADO LIVRE,2020-08-08,Saturday,True,2020-08,2020-T3,RJ,SUDESTE
5,2019-11-16,3837200018,TRENA KTS1-8ME-S 8METROS STARRETT 9017.80.10,OVD,28.12,13.48,0.0,49.9,6.76,360,09c94e8e8e6308395397,ML ALEGRISHOP,MERCADO LIVRE,2020-11-10,Tuesday,False,2020-11,2020-T4,SP,SUDESTE
6,2019-11-16,3837200018,TRENA KTS1-8ME-S 8METROS STARRETT 9017.80.10,OVD,28.12,13.48,0.0,49.9,6.76,360,09c94e8e8e6308395397,ML ALEGRISHOP,MERCADO LIVRE,2020-11-10,Tuesday,False,2020-11,2020-T4,SP,SUDESTE
7,2019-11-16,3837200018,TRENA KTS1-8ME-S 8METROS STARRETT 9017.80.10,OVD,28.12,13.48,0.0,49.9,6.76,360,09c94e8e8e6308395397,ML ALEGRISHOP,MERCADO LIVRE,2020-11-10,Tuesday,False,2020-11,2020-T4,SP,SUDESTE
8,2019-11-16,3837200018,TRENA KTS1-8ME-S 8METROS STARRETT 9017.80.10,OVD,28.12,9.31,5.0,49.9,5.93,576,1a4c56bb5c44e5a70f63,OLIST,OLIST,2021-06-14,Monday,False,2021-06,2021-T2,MS,CENTRO-OESTE
9,2019-11-16,3837200018,TRENA KTS1-8ME-S 8METROS STARRETT 9017.80.10,OVD,28.12,9.31,5.0,49.9,5.93,585,19326671b374efe99d90,OLIST,OLIST,2021-06-23,Wednesday,False,2021-06,2021-T2,RS,SUL
10,2019-11-16,3837200018,TRENA KTS1-8ME-S 8METROS STARRETT 9017.80.10,OVD,28.12,0.0,0.0,28.12,0.36,509,deb6ab246f9e38f77946,ENTREGUE EM MÃOS,ENTREGUE EM MÃOS,2021-04-08,Thursday,False,2021-04,2021-T2,PR,SUL
11,2019-11-16,3570100060,CH FENDA/PHILLIPS PRECISAO 6PCS VONDER,OVD,17.7,11.38,0.0,39.9,9.1,271,9409e568def94aab7f85,ML ALEGRISHOP,MERCADO LIVRE,2020-05-14,Thursday,False,2020-05,2020-T2,PR,SUL
12,2019-11-16,3043620801,"CH AJUSTAVEL 8""",OVD,65.0,19.38,0.0,89.9,4.17,251,b31c0ae10c7c22b5955a,ML ALEGRISHOP,MERCADO LIVRE,2020-07-24,Friday,False,2020-07,2020-T3,RJ,SUDESTE
13,2019-11-16,3065146000,MINIARCO DE SERRA - 146 STARRETT 8202.10.00,OVD,10.0,1.0,0.0,19.9,8.16,530,6fb767835e7d79b0617b,SHOPEE,SHOPEE,2021-04-29,Thursday,False,2021-04,2021-T2,SP,SUDESTE
14,2019-11-16,3099011000,ESTILETE S011 TRAPEZ HIDDEN EDGE STARRET 8211.93.90,OVD,117.04,28.88,15.45,169.9,7.73,431,9bf550f0ebcfb4b02e57,ML ALEGRISHOP,MERCADO LIVRE,2021-01-20,Wednesday,False,2021-01,2021-T1,SP,SUDESTE
15,2019-11-16,3589020000,MARTELO UNHA 20MM CABO FIBRA VONDER,OVD,15.78,10.58,0.0,34.9,7.07,248,a3fbaafd3c7d422950d6,ML MHL TOOLS,MERCADO LIVRE,2020-07-21,Tuesday,False,2020-07,2020-T3,SC,SUL
16,2019-11-16,3538028000,BITS/PONTEIRA CRV C/28PC ENC 1/4 VONDER 8207.90.00,OVD,33.88,14.58,0.0,59.9,9.59,515,de661c2c8e1653fb5945,MAGALU,MAGALU,2021-04-14,Wednesday,False,2021-04,2021-T2,SP,SUDESTE
17,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,9.3,0.0,26.9,0.78,320,8bed78f04eb815b51224,ML ALEGRISHOP,MERCADO LIVRE,2020-10-01,Thursday,False,2020-10,2020-T4,SP,SUDESTE
18,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,9.3,0.0,26.9,0.78,320,8bed78f04eb815b51224,ML ALEGRISHOP,MERCADO LIVRE,2020-10-01,Thursday,False,2020-10,2020-T4,SP,SUDESTE
19,2019-11-16,1037331920,FITA ISOL 19MMX20M SCOTCH 33+ 3M 3919.10.20,OVD,16.08,9.44,0.0,26.9,0.64,444,131fb4db8675c01bb276,ML MHL TOOLS,MERCADO LIVRE,2021-02-02,Tuesday,False,2021-02,2021-T1,SP,SUDESTE
